"Activity" "Subject" "Variable" "MeanValue"
"Walking" 1 "Time_Mean_Body_Acceleration_X" 0.277330758736842
"WalkingUp" 1 "Time_Mean_Body_Acceleration_X" 0.255461689622641
"WalkingDown" 1 "Time_Mean_Body_Acceleration_X" 0.289188320408163
"Sitting" 1 "Time_Mean_Body_Acceleration_X" 0.261237565425532
"Standing" 1 "Time_Mean_Body_Acceleration_X" 0.278917629056604
"Laying" 1 "Time_Mean_Body_Acceleration_X" 0.22159824394
"Walking" 2 "Time_Mean_Body_Acceleration_X" 0.276426586440678
"WalkingUp" 2 "Time_Mean_Body_Acceleration_X" 0.247164790395833
"WalkingDown" 2 "Time_Mean_Body_Acceleration_X" 0.27761534806383
"Sitting" 2 "Time_Mean_Body_Acceleration_X" 0.27708735173913
"Standing" 2 "Time_Mean_Body_Acceleration_X" 0.277911472222222
"Laying" 2 "Time_Mean_Body_Acceleration_X" 0.281373403958333
"Walking" 3 "Time_Mean_Body_Acceleration_X" 0.275567462068966
"WalkingUp" 3 "Time_Mean_Body_Acceleration_X" 0.260819873067797
"WalkingDown" 3 "Time_Mean_Body_Acceleration_X" 0.292423484693878
"Sitting" 3 "Time_Mean_Body_Acceleration_X" 0.257197599134615
"Standing" 3 "Time_Mean_Body_Acceleration_X" 0.280046513278689
"Laying" 3 "Time_Mean_Body_Acceleration_X" 0.275516852741935
"Walking" 4 "Time_Mean_Body_Acceleration_X" 0.278582015166667
"WalkingUp" 4 "Time_Mean_Body_Acceleration_X" 0.270876696730769
"WalkingDown" 4 "Time_Mean_Body_Acceleration_X" 0.279965329555556
"Sitting" 4 "Time_Mean_Body_Acceleration_X" 0.27153827992
"Standing" 4 "Time_Mean_Body_Acceleration_X" 0.280499745892857
"Laying" 4 "Time_Mean_Body_Acceleration_X" 0.263559214981481
"Walking" 5 "Time_Mean_Body_Acceleration_X" 0.27784234625
"WalkingUp" 5 "Time_Mean_Body_Acceleration_X" 0.268459469914894
"WalkingDown" 5 "Time_Mean_Body_Acceleration_X" 0.29354392712766
"Sitting" 5 "Time_Mean_Body_Acceleration_X" 0.273694139545455
"Standing" 5 "Time_Mean_Body_Acceleration_X" 0.282544390892857
"Laying" 5 "Time_Mean_Body_Acceleration_X" 0.278334325576923
"Walking" 6 "Time_Mean_Body_Acceleration_X" 0.283658868070175
"WalkingUp" 6 "Time_Mean_Body_Acceleration_X" 0.268229355098039
"WalkingDown" 6 "Time_Mean_Body_Acceleration_X" 0.277045258145833
"Sitting" 6 "Time_Mean_Body_Acceleration_X" 0.276778487454545
"Standing" 6 "Time_Mean_Body_Acceleration_X" 0.280346248596491
"Laying" 6 "Time_Mean_Body_Acceleration_X" 0.248656520140351
"Walking" 7 "Time_Mean_Body_Acceleration_X" 0.275592961754386
"WalkingUp" 7 "Time_Mean_Body_Acceleration_X" 0.248706923078431
"WalkingDown" 7 "Time_Mean_Body_Acceleration_X" 0.28030708
"Sitting" 7 "Time_Mean_Body_Acceleration_X" 0.284674637291667
"Standing" 7 "Time_Mean_Body_Acceleration_X" 0.282723539433962
"Laying" 7 "Time_Mean_Body_Acceleration_X" 0.250176694038462
"Walking" 8 "Time_Mean_Body_Acceleration_X" 0.27468631
"WalkingUp" 8 "Time_Mean_Body_Acceleration_X" 0.258880152048781
"WalkingDown" 8 "Time_Mean_Body_Acceleration_X" 0.283484089210526
"Sitting" 8 "Time_Mean_Body_Acceleration_X" 0.267491472934783
"Standing" 8 "Time_Mean_Body_Acceleration_X" 0.279620986111111
"Laying" 8 "Time_Mean_Body_Acceleration_X" 0.261254282907407
"Walking" 9 "Time_Mean_Body_Acceleration_X" 0.278502842115385
"WalkingUp" 9 "Time_Mean_Body_Acceleration_X" 0.262436475714286
"WalkingDown" 9 "Time_Mean_Body_Acceleration_X" 0.295923445
"Sitting" 9 "Time_Mean_Body_Acceleration_X" 0.24832674354
"Standing" 9 "Time_Mean_Body_Acceleration_X" 0.282310057333333
"Laying" 9 "Time_Mean_Body_Acceleration_X" 0.2591955368
"Walking" 10 "Time_Mean_Body_Acceleration_X" 0.278574076603774
