tBodyAcc-mean()-X	Time_Mean_Body_Acceleration_X
tBodyAcc-mean()-Y	Time_Mean_Body_Acceleration_Y
tBodyAcc-mean()-Z	Time_Mean_Body_Acceleration_Z
tBodyAcc-std()-X	Time_Std_Body_Acceleration_X
tBodyAcc-std()-Y	Time_Std_Body_Acceleration_Y
tBodyAcc-std()-Z	Time_Std_Body_Acceleration_Z
tGravityAcc-mean()-X	Time_Mean_Gravity_Acceleration_X
tGravityAcc-mean()-Y	Time_Mean_Gravity_Acceleration_Y
tGravityAcc-mean()-Z	Time_Mean_Gravity_Acceleration_Z
tGravityAcc-std()-X	Time_Std_Gravity_Acceleration_X
tGravityAcc-std()-Y	Time_Std_Gravity_Acceleration_Y
tGravityAcc-std()-Z	Time_Std_Gravity_Acceleration_Z
tBodyAccJerk-mean()-X	Time_Mean_Body_Acceleration_Jerk_X
tBodyAccJerk-mean()-Y	Time_Mean_Body_Acceleration_Jerk_Y
tBodyAccJerk-mean()-Z	Time_Mean_Body_Acceleration_Jerk_Z
tBodyAccJerk-std()-X	Time_Std_Body_Acceleration_Jerk_X
tBodyAccJerk-std()-Y	Time_Std_Body_Acceleration_Jerk_Y
tBodyAccJerk-std()-Z	Time_Std_Body_Acceleration_Jerk_Z
tBodyGyro-mean()-X	Time_Mean_Body_Gyro_X
tBodyGyro-mean()-Y	Time_Mean_Body_Gyro_Y
tBodyGyro-mean()-Z	Time_Mean_Body_Gyro_Z
tBodyGyro-std()-X	Time_Std_Body_Gyro_X
tBodyGyro-std()-Y	Time_Std_Body_Gyro_Y
tBodyGyro-std()-Z	Time_Std_Body_Gyro_Z
tBodyGyroJerk-mean()-X	Time_Mean_Body_Gyro_Jerk_X
tBodyGyroJerk-mean()-Y	Time_Mean_Body_Gyro_Jerk_Y
tBodyGyroJerk-mean()-Z	Time_Mean_Body_Gyro_Jerk_Z
tBodyGyroJerk-std()-X	Time_Std_Body_Gyro_Jerk_X
tBodyGyroJerk-std()-Y	Time_Std_Body_Gyro_Jerk_Y
tBodyGyroJerk-std()-Z	Time_Std_Body_Gyro_Jerk_Z
tBodyAccMag-mean()	Time_Mean_Body_Acceleration_Magnitude
tBodyAccMag-std()	Time_Std_Body_Acceleration_Magnitude
tGravityAccMag-mean()	Time_Mean_Gravity_Acceleration_Magnitude
tGravityAccMag-std()	Time_Std_Gravity_Acceleration_Magnitude
tBodyAccJerkMag-mean()	Time_Mean_Body_Acceleration_Jerk_Magnitude
tBodyAccJerkMag-std()	Time_Std_Body_Acceleration_Jerk_Magnitude
tBodyGyroMag-mean()	Time_Mean_Body_Gyro_Magnitude
tBodyGyroMag-std()	Time_Std_Body_Gyro_Magnitude
tBodyGyroJerkMag-mean()	Time_Mean_Body_Gyro_Jerk_Magnitude
tBodyGyroJerkMag-std()	Time_Std_Body_Gyro_Jerk_Magnitude
fBodyAcc-mean()-X	Freq_Mean_Body_Acceleration_X
fBodyAcc-mean()-Y	Freq_Mean_Body_Acceleration_Y
fBodyAcc-mean()-Z	Freq_Mean_Body_Acceleration_Z
fBodyAcc-std()-X	Freq_Std_Body_Acceleration_X
fBodyAcc-std()-Y	Freq_Std_Body_Acceleration_Y
fBodyAcc-std()-Z	Freq_Std_Body_Acceleration_Z
fBodyAccJerk-mean()-X	Freq_Mean_Body_Acceleration_Jerk_X
fBodyAccJerk-mean()-Y	Freq_Mean_Body_Acceleration_Jerk_Y
fBodyAccJerk-mean()-Z	Freq_Mean_Body_Acceleration_Jerk_Z
fBodyAccJerk-std()-X	Freq_Std_Body_Acceleration_Jerk_X
fBodyAccJerk-std()-Y	Freq_Std_Body_Acceleration_Jerk_Y
fBodyAccJerk-std()-Z	Freq_Std_Body_Acceleration_Jerk_Z
fBodyGyro-mean()-X	Freq_Mean_Body_Gyro_X
fBodyGyro-mean()-Y	Freq_Mean_Body_Gyro_Y
fBodyGyro-mean()-Z	Freq_Mean_Body_Gyro_Z
fBodyGyro-std()-X	Freq_Std_Body_Gyro_X
fBodyGyro-std()-Y	Freq_Std_Body_Gyro_Y
fBodyGyro-std()-Z	Freq_Std_Body_Gyro_Z
fBodyAccMag-mean()	Freq_Mean_Body_Acceleration_Magnitude
fBodyAccMag-std()	Freq_Std_Body_Acceleration_Magnitude
fBodyBodyAccJerkMag-mean()	Freq_Mean_Body_Acceleration_Jerk_Magnitude
fBodyBodyAccJerkMag-std()	Freq_Std_Body_Acceleration_Jerk_Magnitude
fBodyBodyGyroMag-mean()	Freq_Mean_Body_Gyro_Magnitude
fBodyBodyGyroMag-std()	Freq_Std_Body_Gyro_Magnitude
fBodyBodyGyroJerkMag-mean()	Freq_Mean_Body_Gyro_Jerk_Magnitude
fBodyBodyGyroJerkMag-std()	Freq_Std_Body_Gyro_Jerk_Magnitude
